stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,wheelchair_boarding,parent_station,platform_code
B00362P,,Flyover Klender 2,,-6.213721,106.902520,1,,0,2,,
B00363P,,Flyover Ps. Klender 1,,-6.211058,106.901530,1,,0,2,,
B00364P,,Flyover Ps. Klender 2,,-6.211371,106.901030,1,,0,2,,
B00366P,,Flyover Pulo Gebang 1,,-6.210497,106.950470,1,,0,2,,
B00367P,,Flyover Pulo Gebang 2,,-6.210438,106.950620,1,,0,2,,
B00368P,,Flyover Radin Inten 1,,-6.216112,106.924390,1,,0,2,,
B00323P,,DPRD DKI Jakarta,,-6.182886,106.828510,1,,0,2,,
B00337P,,Empang 3,,-6.263342,106.843180,1,,0,2,,
B00369P,,Flyover Radin Inten 2,,-6.215843,106.924080,1,,0,2,,
B00370P,,Flyover Semanan Indah 1,,-6.161654,106.726490,1,,0,2,,
B00371P,,Flyover Semanan Indah 2,,-6.161743,106.726930,1,,0,2,,
B00372P,,Flyover Setiabudi,,-6.202064,106.828100,1,,0,2,,
B00373P,,Flyover Slipi Kemanggisan,,-6.189613,106.797420,1,,0,2,,
B00374P,,Flyover Tj. Barat,,-6.303059,106.839980,1,,0,2,,
B00297P,,Dapsus 3,,-6.301777,106.795224,1,,0,2,,
B00365P,,Akses Bawah Flyover Pondok Kopi,,-6.217758,106.938430,1,,0,2,,
B00339P,,Enggano 2,,-6.110031,106.892460,1,,0,2,,
B00338P,,Enggano 1,,-6.110213,106.892460,1,,0,2,,
B00376P,,Formindo Prima Agung,,-6.120335,106.708530,1,,0,2,,
B00377P,,Fresh Market PIK,,-6.102900,106.741230,1,,0,2,,
B00379P,,Gading Griya Lestari,,-6.141405,106.921880,1,,0,2,,
B00380P,,Gading Harmony,,-6.165901,106.901790,1,,0,2,,
B00381P,,Gading Nirwana,,-6.148645,106.912950,1,,0,2,,
B00382P,,Gading Riveria,,-6.148327,106.912770,1,,0,2,,
B00383P,,Gading Serpong 1,,-6.230729,106.641380,1,,0,2,,
B00384P,,Gading Serpong 2,,-6.230464,106.641470,1,,0,2,,
B00385P,,Galeri Nasional,,-6.178553,106.831820,1,,0,2,,
B00386P,,Galeri Niaga Mediterania 1,,-6.116646,106.771350,1,,0,2,,
B00387P,,Galur 1,,-6.174567,106.854930,1,,0,2,,
B00388P,,Galur 2,,-6.174192,106.855000,1,,0,2,,
